tsne_1,tsne_2
37.383854,-19.26293
4.7277813,-1.4338567
-7.8463345,10.625516
21.13865,5.4011574
-39.746826,4.8455615
-66.09722,19.43103
-20.065195,-8.436583
-28.754295,-19.065636
60.45322,-12.387603
-34.50959,-22.750998
60.69678,26.644365
-2.0343716,0.46977982
-29.918186,-3.077933
-50.75808,24.15009
36.468773,-15.00485
47.128906,-18.446463
-83.44001,-1.5048113
2.8209276,18.09171
37.154778,-15.5897665
58.323807,2.7382083
16.8581,-0.2855074
-64.61146,-3.6870313
2.2058766,41.42538
21.183302,16.31186
-13.020089,-5.0105886
9.996501,-0.9393443
67.788185,30.78608
-31.407885,-8.767615
-44.35099,14.412327
25.857588,-3.4824576
-22.650297,-21.794943
38.80493,-3.2884889
49.496822,-20.546387
11.332624,-7.2144256
-33.125683,0.96628493
-37.98396,22.404207
-28.577168,-19.068062
-55.06172,-7.0457287
-32.14224,-10.557041
51.401573,-4.746408
-44.79369,-16.405914
53.137054,-12.762739
-66.936874,14.721208
-55.60156,0.977546
31.102018,-13.09243
-33.554787,34.84644
10.635055,4.732139
-21.744453,-44.6287
36.35027,-17.272667
-58.891556,-4.125874
-22.607897,-25.414698
17.638474,17.77599
-20.219326,-9.795763
19.78107,10.216879
-0.47928724,-8.692474
54.73502,11.3413105
-1.3743016,1.4085076
71.08569,26.147675
44.04713,-24.333456
-63.182575,-0.028035773
-49.92528,-15.544847
88.271576,2.9859402
-35.814964,4.535921
3.8345666,-21.902721
-17.736252,29.852749
-69.006065,8.2254305
60.27148,25.215576
-26.284681,2.4312937
-65.43318,-12.514933
-73.264366,-5.6832485
-35.401688,-10.57123
13.455038,9.207762
-15.268477,-18.874914
-55.047634,-4.0588946
8.774389,-0.4109864
-2.2393725,6.107829
-52.071083,3.8379152
13.411478,5.8899775
-39.633705,-10.431955
35.021397,6.107499
-32.066868,10.131038
-54.40414,14.430511
-35.755157,22.285915
56.469734,18.674316
-17.150944,28.290909
-38.3806,22.261614
-8.220717,-15.95026
-54.97982,10.698281
-25.278307,-28.914732
-47.764023,4.0175343
-2.1135118,4.854413
-2.02748,28.71495
32.734947,-13.123516
57.585922,5.3952274
-82.82074,-2.9380436
-45.912025,10.584919
-19.04539,-0.44172052
3.100688,-14.286427
-41.813866,-23.665915
-16.936039,-23.509827
33.647537,-0.67393327
-48.31299,-6.582663
-43.97152,-8.498215
61.193813,5.2253237
59.100155,27.676666
-35.720196,-4.8795733
-6.836355,-10.961368
45.959766,-20.158619
58.48312,-2.5165036
15.616849,9.857285
-19.960846,3.0013225
-49.002525,15.566828
60.9931,0.21512197
56.615177,9.954823
21.275904,8.589327
21.145782,19.14485
-24.590437,-0.16310929
-18.947002,-22.75114
61.64067,27.143677
17.40137,11.572435
-38.048893,12.861068
-40.18877,-4.4832563
-46.5364,14.2488785
12.743964,4.1017847
4.1453443,40.547993
-52.386017,13.133961
-20.285355,27.445751
32.35901,6.6102753
18.66256,5.2908735
14.659804,13.031917
58.489754,-14.78003
-1.8610586,-11.335399
62.850792,-13.54764
-16.141365,-21.04687
42.121296,-26.050127
78.08164,20.681276
-43.37901,-6.536662
-56.329357,5.417954
4.9411516,7.7959356
-3.503226,16.505758
61.05697,-4.232304
-38.4499,-10.970545
25.964237,13.197248
2.7859597,40.178265
-0.66828793,8.277809
11.95459,3.949881
-41.446518,14.914906
-35.380722,-6.3067064
66.82904,27.165934
-38.47637,-6.9087124
-2.8157518,29.222635
64.89324,-19.437273
5.357167,0.6948425
3.9522288,-22.071922
-8.284934,1.0865042
-51.067226,-16.984037
50.275967,-11.843779
65.349464,-7.4269395
58.127007,25.727453
-54.875366,6.2558765
23.242292,2.328135
-32.319447,-8.316808
28.470901,18.873604
31.115276,-14.003887
-49.96501,1.6069714
14.09789,7.702085
45.140327,-24.982443
55.917904,23.663713
-28.733278,3.7614388
-53.37244,25.59451
-49.39769,23.425974
59.215843,25.00792
-15.190172,7.023409
51.878292,-22.94959
-21.823372,-45.600124
-22.121832,-23.34556
28.778906,-6.3684855
-11.300919,-4.4326973
-44.62225,0.44002822
65.21007,-15.971452
-16.082254,-11.022683
61.412003,3.4482806
-8.573699,-11.727397
4.3101444,12.643388
-4.5371723,-11.538681
14.846342,14.91323
-45.91696,-16.729662
32.449024,10.496349
-45.627575,10.304716
58.048866,25.085474
-18.916632,-24.220955
13.068865,6.2802706
87.90438,2.692513
44.04781,-17.052658
-44.149837,1.57886
60.517033,-14.806925
74.36054,22.76866
-31.539288,-8.58986
59.03789,-1.3445971
-32.792416,-10.123155
78.577866,19.794647
3.0781507,-2.9935637
39.075424,-27.739222
36.37814,-19.955473
13.551924,-2.2800233
